College Name,Website,City,State,Data Analytics Only,Data Analytics degree/cert Offered,Data Science degree/cert Offered,Offers Certificate,Offers AS,Offer Data Science Course,COUNTY,LATITUDE,LONGITUDE
Cuesta College,,San Luis Obispo,California,0,0,0,0,0,0,San Luis Obispo,35.263453,-120.650933
Ventura College,,Ventura,California,0,0,0,0,0,0,Ventura,34.290531,-119.28882
Golden West College,https://www.goldenwestcollege.edu/Links/pdf/research/program-reviews/cs/Computer-Science_2023.pdf,Huntington Beach,California,0,0,0,0,0,0,Orange,33.7152,-118.0088
Butte College,,Oroville,California,0,0,0,0,0,0,Butte,39.532967,-121.578396
Norco College,https://www.norcocollege.edu/caps/mecsgd/datascience.html,Norco,California,0,1,1,1,1,1,Riverside,33.94,-117.553333
Citrus College,,Glendora,California,0,0,0,0,0,0,Los Angeles,34.128663,-117.855155
Laney College,https://laney.edu/data-science/,Oakland,California,0,0,1,1,1,1,Alameda,37.780595,-122.216587
Folsom Lake College,https://flc.losrios.edu/academics/programs-and-majors/computer-information-science,Folsom,California,0,0,1,1,0,0,Sacramento,38.687885,-121.140927
Moreno Valley College,https://mvc.edu/academics/programs/data-science.php,Moreno Valley,California,0,1,1,1,1,1,Riverside,33.8858,-117.2211
Cabrillo College,,Aptos,California,0,0,0,0,0,0,Santa Cruz,36.977222,-121.898333
West Los Angeles College,https://programmap.wlac.edu/academics/interest-clusters/3a04a056-d7c3-4308-b5a5-feacaad0e67e/programs/86c635cd-cdf6-2921-7b27-3f32f9ad61ea,Los Angeles,California,0,0,1,1,0,1,Los Angeles,33.973093,-118.247896
Coastline Community College,https://catalog.cccd.edu/coastline/pathways/technology/computer-information-systems/data-science-certificate-achievement/#requirementstext,Fountain Valley,California,0,1,1,1,1,1,Orange,33.710762,-117.952318
Los Angeles Harbor College,https://www.lahc.edu/academics/pathways/stem/science,Los Angeles,California,0,0,0,0,0,0,Los Angeles,33.973093,-118.247896
Skyline College,https://skylinecollege.edu/mathematics/datascience.php,San Bruno,California,0,0,0,0,0,1,San Mateo,37.624742,-122.429021
West Valley College,https://www.westvalley.edu/catalog/programs/data-science-associate-in-science-degree.html,Saratoga,California,0,0,1,0,1,1,Santa Clara,37.272871,-122.018238
Evergreen Valley College,https://catalog.evc.edu/search/?search=comsc+028,San Jose,California,0,0,0,0,0,1,Santa Clara,37.3894,-121.8868
College of San Mateo,https://san-mateo.preview.programmapper.com/academics/interest-clusters/31540623-e15a-4a3b-86a9-161c4e566af1/programs/f6e26cd4-49a3-f10f-6202-3261d1bc6811,San Mateo,California,1,1,0,1,0,1,San Mateo,37.572271,-122.320262
